T,s,KL
200,28,0.03280455269230684
200,29,-0.024332662664841978
200,30,0.04068592563881825
200,31,0.10230334314247269
200,32,0.007590333812264563
200,33,0.02377165518197669
200,34,-0.007316275982958729
200,35,0.02836728584594759
200,36,-0.010501265910499732
200,37,0.026604557481242186
200,38,-0.052021707902905695
200,39,-0.0015709968067287544
200,40,0.01275714011633786
200,41,0.021428806872905184
200,42,0.01814388053196006
200,43,0.10219756804364712
200,44,0.005164684937412833
200,45,-0.04687644850166335
200,46,0.011707100095123796
200,47,-0.04516104962481536
200,48,0.07000921093879334
200,49,0.04020926954766596
300,0,-0.03073591618484137
300,1,0.0010906352856788152
300,2,-0.04656270403415443
300,3,0.013611363548477948
300,4,0.01813369832736348
300,5,-0.012950361404709308
300,6,-0.0005468290323396019
300,7,-0.026984714020764772
300,8,0.0011958876256538168
300,9,-0.009691353790888889
300,10,-0.056478605593144104
300,11,-0.031076039452515403
300,12,0.04156126949128691
300,13,0.0016975180885092644
300,14,-0.029784032326328574
300,15,-0.016286576378642934
300,16,0.029246975648728097
300,17,-0.0031992219907173835
300,18,0.05005406672443718
300,19,-0.02451733595446501
300,20,0.02213003144399507
300,21,0.03869496921463221
300,22,-0.0012573676129983887
300,23,-0.015453919943633309
300,24,-0.0031280463467835
300,25,0.07332580574863168
300,26,0.0018590545246481172
300,27,-0.02051272233326864
300,28,-0.015180735013184543
300,29,0.03488521279192732
300,30,0.004806314983573786
300,31,-0.02717178173716958
300,32,0.019321321434309154
300,33,0.03796856126302632
300,34,-0.0043073920799904806
300,35,-0.02184240873346846
300,36,0.031236937895552923
300,37,0.0016139603560113049
300,38,0.016254121204197034
300,39,0.07297947751132837
300,40,0.017495507416331643
300,41,0.01654830146411877
300,42,0.023073550082304446
300,43,-0.0274884211731641
300,44,-0.025914103170875773
300,45,-0.03399846141818837
300,46,0.001295982996331462
300,47,-0.005436216437658534
300,48,-0.005838126466666222
300,49,0.006871389536232705
400,0,0.06937452094563454
400,1,0.00018138578005645004
400,2,0.017768264323359297
400,3,0.04591538049638837
400,4,0.006093327968490173
400,5,-0.00296040409844758
400,6,-0.06773876831211473
400,7,-0.005011838542945672
400,8,0.026492230554915563
400,9,0.0065862036955839556
400,10,0.0097892476382216
400,11,0.026116057815674304
400,12,0.029707907644796045
400,13,0.007213477373603655
400,14,-0.006184107412994975
400,15,0.03028243453064424
400,16,-0.028013786910996968
400,17,-0.005849769953644661
400,18,0.016074678110848357
400,19,-0.027088404413808463
400,20,0.04424666487248218
400,21,0.04104996192584864
400,22,0.015753051834123913
400,23,-0.004423986520993411
400,24,0.022962734775532186
400,25,-0.018903314549968804
400,26,0.028251788480165674
400,27,0.009580287979471781
400,28,-0.017955173882642242
400,29,0.006948154034265404
400,30,0.006633914143235364
400,31,-0.0148722245964792
400,32,0.010636983164574487
400,33,-0.014814214038547439
400,34,-0.036901004531130564
400,35,0.025442361344217825
400,36,-0.0237502655657995
400,37,0.01685905279582245
400,38,-0.0019855658810060185
400,39,-0.010172837433456301
400,40,0.0039436647818472306
400,41,-0.0413595853016686
400,42,-0.006221372235098704
400,43,-0.01084793785940447
400,44,-0.03870581106951598
400,45,-0.035224670391343776
400,46,0.026079846104477045
400,47,0.006065845861674978
400,48,0.04460973152388897
400,49,0.05668902112226075
500,0,-0.033721205274313465
500,1,0.023985072211686928
500,2,0.0035485557122363915
500,3,0.05201954367188779
500,4,0.018955326404270643
500,5,0.04484885167352147
500,6,-0.0071782138031718816
500,7,0.051955179885162614
500,8,0.005423124732738796
500,9,-0.02836591314774077
500,10,-0.037455972351163096
500,11,0.02361045445600829
500,12,0.023805365916851312
500,13,-0.017143881497365756
500,14,-0.041287674708414976
500,15,-0.001442447312958224
500,16,0.033418170948493135
500,17,0.025272302286562662
500,18,0.02874081587034853
500,19,0.002263820904093254
500,20,0.0043574399100969425
500,21,0.014453532227266096
500,22,-0.007084101220224273
500,23,0.00022680770931733651
500,24,0.003942354502488841
500,25,0.01266981225005939
500,26,0.04666027432439062
500,27,-0.022010936038629088
500,28,0.03284132514392425
500,29,-0.051351094238969844
500,30,0.009080931412313278
500,31,0.0057761618802813315
500,32,-0.009044631505993904
500,33,-0.00016715441337642606
500,34,-0.03475047702370015
500,35,0.007809532751002797
500,36,-0.03389823987626171
500,37,-0.010115986858795206
500,38,0.0006371428633866107
500,39,0.0026523475326677643
500,40,-0.00536273137369589
500,41,0.010373579656653385
500,42,-0.032543657655754975
500,43,0.016278024289074898
500,44,0.012226235532170988
500,45,-0.012055484539984672
500,46,-0.03196482516076567
500,47,0.030733895418132266
500,48,-0.02214519450490105
500,49,-0.00010190563667592401
600,0,-0.026516965396918925
600,1,0.02317965529339882
600,2,0.0038944022673158578
600,3,0.021670299919125578
600,4,-0.04065956601647185
600,5,0.016857113385245006
600,6,0.007197531136352801
600,7,-0.005012702888021146
600,8,0.023045297210809976
600,9,0.001973346389061295
600,10,-0.026149038338580278
600,11,-0.028501261435980592
600,12,0.002285830445789147
600,13,-0.04800819674157619
600,14,0.0016399997527625082
600,15,-0.003360667799651394
600,16,-0.02716021654685611
600,17,-0.022882373014703264
600,18,0.03611555130803677
600,19,0.029440824852393917
600,20,0.010744716892847077
600,21,-0.007193042524863773
600,22,0.02174327986496332
600,23,-0.031229051475792333
600,24,-0.018631169888409155
600,25,-0.0014683370406539976
600,26,-0.02811735024855508
600,27,-0.010996404132096155
600,28,-0.005919381953144048
600,29,-0.007228149989810366
600,30,0.0016010272987091213
600,31,-0.004309598618768458
600,32,0.046761011145792716
600,33,-0.020859590512002806
600,34,0.005052643964936969
600,35,-0.020950355545999916
600,36,-0.010369918534016094
600,37,0.016339404950958706
600,38,-0.01837802351179872
600,39,0.007403108215745368
600,40,-0.020655745378435838
600,41,-0.006035527379601877
600,42,-0.0038753659364231855
600,43,-0.038064219226418866
600,44,-0.0038037938114036866
600,45,-0.011951703787070207
600,46,-0.001440832392541094
600,47,-0.022259682930437435
600,48,-0.003988682680729241
600,49,-0.02660856979215937
700,0,0.02282840462188445
700,1,-0.0018788363049343777
700,2,0.00503706413007253
700,3,-0.022391348461331968
700,4,-0.01344350213787585
700,5,-0.019380351891629392
700,6,0.006081013372429082
700,7,-0.016481967181900703
700,8,0.02282149774328214
700,9,0.012348837659189406
700,10,0.00860580220161342
700,11,-0.018279479606531722
700,12,-0.011816317769174819
700,13,-0.03579584516284662
700,14,-0.03820404109601619
700,15,0.02445431319416614
700,16,0.0012056323909585276
700,17,0.015753703401710957
700,18,-0.0029852563771068123
700,19,0.010778005217123444
700,20,-0.012726299595228523
700,21,-0.007018858935788731
700,22,-0.0031008972400397633
700,23,0.013435309365445229
700,24,0.0008624657028141265
700,25,-0.019286872377639958
700,26,0.02473571848762037
700,27,-0.022233100755716318
700,28,-0.011843984692702005
700,29,0.021781198026527688
700,30,0.03167694225993106
700,31,-0.010337861032980556
700,32,0.007350112399054293
700,33,-0.0031078697098572625
700,34,0.019173672809059492
700,35,-0.0011142251577301646
700,36,0.011505359242907222
700,37,0.024056774434390173
700,38,0.010304535616211894
700,39,0.002897468758301776
700,40,-0.009093931536063072
700,41,-0.015094210710205096
700,42,0.01042662429969175
700,43,0.015809895487580734
700,44,-0.006844479362482826
700,45,-0.01192696376655541
700,46,-0.014373398978507047
700,47,0.06294159684429072
700,48,-0.024325373825030264
700,49,0.003873063379586665
800,0,-0.007476505740452794
800,1,-0.005126238621276476
800,2,0.001298563439404721
800,3,0.005000314159569803
800,4,0.026989078133947998
800,5,-0.011308206585187806
800,6,-0.03810968460283329
800,7,-0.0032115158411054703
800,8,-0.006700710759681285
800,9,0.002860795228163898
800,10,0.004844774713347709
800,11,-0.0096725327117484
800,12,-0.02303739275233109
800,13,-0.015523959576084594
800,14,0.04027426593325772
800,15,0.02371518767213779
800,16,-0.03909601889369472
800,17,0.0029749115425048347
800,18,0.016825486876041414
800,19,-0.025486824919823403
800,20,0.010015603737125942
800,21,-0.012736882881853373
800,22,0.007384470138050543
800,23,0.009342672213158595
800,24,-0.004689363303422979
800,25,-0.009374063183116597
800,26,0.010964537003225654
800,27,-0.003379093386932746
800,28,0.0355846540062336
800,29,-0.017099556197603644
800,30,0.017914515424106152
800,31,0.005072300667296111
800,32,-0.006202209442301709
800,33,-0.011387791411777145
800,34,-0.013005842919374294
800,35,0.0011816170617813676
800,36,-0.002420313479547923
800,37,-0.015739440845118066
800,38,-0.03409214828469055
800,39,-0.024726831323912183
800,40,0.009787506484868362
800,41,0.011010623154928288
800,42,-0.004041561130722845
800,43,0.014565947168293413
800,44,-0.019263526199263345
800,45,-0.005859304177451295
800,46,0.03646686460391261
800,47,0.006655015112997707
800,48,-0.015940972486684368
800,49,0.03141840270773165
900,0,-0.020909513988100932
900,1,0.004233828902856613
900,2,-0.0042493750291432
900,3,-0.007237758144692766
900,4,-0.008079343924454417
900,5,-0.002160361772686425
900,6,0.025604990970101372
900,7,0.02025846629540301
900,8,0.012946533175825168
900,9,0.026622238077294608
900,10,-0.03529490877096324
900,11,0.007288768279218228
900,12,0.006877503096799332
900,13,-0.02410816170229083
900,14,-0.004761113838096602
900,15,0.0039715611668131225
900,16,-0.029734635106916187
900,17,0.005929479573358524
900,18,-0.011448513401259115
900,19,-0.010867995470367556
900,20,-8.033012451790259e-05
900,21,-0.008910064140664576
900,22,0.02833362479579693
900,23,-0.02845694921118327
900,24,0.00455296244288941
900,25,-0.002696785571709497
900,26,0.002366538055771611
900,27,-0.008397464473096316
900,28,-0.009973011461130532
900,29,-0.01145989430378279
900,30,0.010967918332044507
900,31,-0.018165328210758162
900,32,0.005402573904494783
900,33,-0.007878550192306514
900,34,-0.029088971316588854
900,35,0.01825968752999975
900,36,-0.00900816299533641
900,37,-0.04027142000783767
900,38,-0.016573986450802238
900,39,-0.0053341571174498675
900,40,-0.02010352720061996
900,41,-0.024583112040534184
900,42,-0.013489124773937176
900,43,-0.03202815458849837
900,44,-0.017525194223637904
900,45,-0.02537584130092396
900,46,-0.02455293927055896
900,47,0.019381999189196728
900,48,-0.00398858855735853
900,49,-0.01827322690537122
1000,0,-0.007241646470416653
1000,1,-0.006168903112019617
1000,2,-0.0004738733027810115
1000,3,0.0034018772373982497
1000,4,-0.027706761024168164
1000,5,0.0025277531000303197
1000,6,-0.012602751609786486
1000,7,0.014104690409708081
1000,8,0.0038813976138141046
1000,9,-0.01077967798776104
1000,10,0.002344159574098131
1000,11,-0.011468822144366621
1000,12,-0.01679581731558265
1000,13,-0.02821220871845278
1000,14,-0.020545943413017312
1000,15,0.03209271173226584
1000,16,0.013972691712980243
1000,17,0.024961163354411377
1000,18,0.019984441797394545
1000,19,0.017773609292193578
1000,20,-0.0006253195336548664
1000,21,-0.014345555389329433
1000,22,0.015566129586144726
1000,23,-0.01867023098155964
1000,24,-0.007952033675610523
1000,25,0.013670800615351072
1000,26,0.022361886194121258
1000,27,-0.01230128867915891
1000,28,0.011504110911586873
1000,29,0.015017293800944905
1000,30,0.017278982701337636
1000,31,0.010192488437273474
1000,32,-0.004915445035225964
1000,33,-0.022298494502819382
1000,34,0.017534883952530087
1000,35,-0.007999406844331956
1000,36,0.040323483240426075
1000,37,-0.003674539245948473
1000,38,0.018584241905607746
1000,39,0.022118774855276285
1000,40,0.018772067275212384
1000,41,-0.0022577379319111573
1000,42,0.0014527382804963012
1000,43,-0.010483302246589443
1000,44,0.010264979131431286
1000,45,0.005234822559844679
1000,46,-0.0012222282179981173
1000,47,0.014639814418674513
1000,48,0.009441021087635792
1000,49,0.015589112716499496
1100,0,-0.016700490698317742
1100,1,0.0012426788671397841
1100,2,0.021277249971873892
1100,3,-0.010279355195558016
1100,4,0.0031250773389368052
1100,5,-0.02149884042170951
1100,6,0.04145451521801882
1100,7,-0.01017997174477991
1100,8,0.009819328433983764
1100,9,0.009300488863694606
1100,10,-0.003965708413084902
1100,11,0.009582407572986305
1100,12,-0.00436085275171211
1100,13,-0.016862828126772537
1100,14,0.005985718243052221
1100,15,0.011031281797044264
1100,16,0.013111704804769673
1100,17,0.0213482601237697
1100,18,0.007999385429120542
1100,19,0.03042166402317459
1100,20,0.0010466195505861625
1100,21,-0.01398654766916102
1100,22,-0.016360308369754245
1100,23,0.005986976049231287
1100,24,0.026575757866957483
1100,25,0.014482910508646522
1100,26,-0.011093497853628894
1100,27,-0.000893338345173366
1100,28,-0.034900985380053776
1100,29,0.010351195366396785
1100,30,0.0030816601120098597
1100,31,-0.015931691126343215
1100,32,-0.0008998944911396893
1100,33,-0.005714571372118154
1100,34,-0.008377526181087587
1100,35,-0.014267426913928571
1100,36,0.032091651052306935
1100,37,0.02151595329884249
1100,38,-0.003952417338242356
1100,39,0.006479091049549865
1100,40,-0.013257197599791054
1100,41,-0.019969709096733762
1100,42,-0.03064482632716927
1100,43,-0.0022500913753186187
1100,44,-0.03286059586243132
1100,45,-0.005788589646867292
1100,46,0.009476323834863045
1100,47,-0.011658256954096642
1100,48,-0.021077172843938584
1100,49,-0.022677565437476697
1200,0,0.0009291874097667845
1200,1,-0.00464565460808214
1200,2,-0.012737559665638852
1200,3,0.005003517934821235
1200,4,0.014956397333637
1200,5,0.023286089722804784
1200,6,-0.015020859537806446
1200,7,0.012900401864044201
1200,8,-0.006818497760443767
1200,9,0.02033198547813396
1200,10,-0.020522790120333402
1200,11,0.005632175445757117
1200,12,-0.022198921985222046
1200,13,0.0024448130673556294
1200,14,-0.021160399310561948
1200,15,-0.0021077218871010193
1200,16,0.020013107577864134
1200,17,0.002798264887531299
1200,18,0.003961458108967937
1200,19,-0.011971820687640413
1200,20,-0.004729781740111108
1200,21,0.03390218493768635
1200,22,-0.011835544242898361
1200,23,-0.007488075486992357
1200,24,-0.009100002278609512
1200,25,-0.009319409546533838
1200,26,-0.011355971017886593
1200,27,-0.006283424500804264
1200,28,0.01089803044114214
1200,29,0.002387061854955885
1200,30,-0.006870298364909723
1200,31,-0.0016680222705451418
1200,32,-0.011723921806535743
1200,33,0.019938209610702126
1200,34,-0.014827054401968838
1200,35,0.00484215730822799
1200,36,0.011731281002821125
1200,37,0.0008460781013617728
1200,38,-0.033683822005318304
1200,39,-0.00886051749900147
1200,40,-0.005679807998412742
1200,41,0.009170470078896932
1200,42,0.0029887433525972607
1200,43,0.016935724593687945
1200,44,-0.007665040084322535
1200,45,0.022029772124689078
1200,46,0.004997782878752887
1200,47,-0.014334062133911064
1200,48,0.010427955507111512
1200,49,-0.010003231551141295
1300,0,0.008344958469985099
1300,1,-0.0033483090543914313
1300,2,0.030538193415295088
1300,3,-0.0023184878548124397
1300,4,0.003915838209930597
1300,5,-0.002701203523422018
1300,6,-0.00400895402108375
1300,7,0.0018960997316977554
1300,8,0.017867858682164717
1300,9,0.004389397322398744
1300,10,-0.00441350751455015
1300,11,-0.00537972393065589
1300,12,-0.00916271518917018
1300,13,-0.015178340249180656
1300,14,0.008895318360510432
1300,15,-0.0007022535303586673
1300,16,0.0011599977254017689
1300,17,0.008594085838617656
1300,18,0.0038747103137811026
1300,19,-0.01656807969860195
1300,20,0.023748713457353084
1300,21,0.023891317345096287
1300,22,-0.004324753167924237
1300,23,0.0037191941459115458
1300,24,-0.012964461891800935
1300,25,-0.0019521668723410696
1300,26,0.0020704618720082243
1300,27,-0.00989280669770631
1300,28,-0.014341069639481212
1300,29,0.00055312731371185
1300,30,0.02130442755497812
1300,31,0.03426264640388841
1300,32,0.022378828697905837
1300,33,-0.008547978834803578
1300,34,-0.002231288161236532
1300,35,-0.017959024207919536
1300,36,-0.005233056136700789
1300,37,-0.010395442320419794
1300,38,-0.010034469358918703
1300,39,0.014161531281844863
1300,40,-0.0029099112419395594
1300,41,-0.024106037226052764
1300,42,0.017263798538486436
1300,43,-0.008779384858214109
1300,44,-0.012684442724837722
1300,45,0.016622152124164388
1300,46,0.026251116906819413
1300,47,0.0125453731760593
1300,48,-0.011910456563512653
1300,49,0.02901203586374869
1400,0,-0.017174040407740863
1400,1,-0.017872488685167696
1400,2,-0.009630736139844422
1400,3,-0.0029177745523124013
1400,4,-0.010715389773773185
1400,5,-0.007581129598809622
1400,6,-0.010401282932641072
1400,7,0.006457795552900506
1400,8,-0.005476149748930627
1400,9,0.017279696573737922
1400,10,0.007201532303691178
1400,11,-0.009380425140442367
1400,12,0.008869323674227249
1400,13,0.004140891126178161
1400,14,-0.01331447656727306
1400,15,-0.013148998004315352
1400,16,0.0023330692015419577
1400,17,-0.01663686224218911
1400,18,0.002453172196515022
1400,19,0.030988828662219428
1400,20,-0.011992480434372456
1400,21,-0.015444404274626051
1400,22,-0.011038466889060442
1400,23,0.000166255768353741
1400,24,-0.01432714372553192
1400,25,-0.0006292062448821699
1400,26,0.01902214901467144
1400,27,-0.00035362677239434955
1400,28,-0.004260145058108903
1400,29,0.0004148385534236503
1400,30,0.017184965431498604
1400,31,-0.0014780035052504126
1400,32,-0.01206906264213584
1400,33,0.016030213450049183
1400,34,0.009805503340400019
1400,35,-0.01127528026415366
1400,36,-0.01492409153371303
1400,37,0.020584915858746576
1400,38,-0.0002473573603036863
1400,39,-0.00037448473629518586
1400,40,0.0034003790418911575
1400,41,-0.02829381598666658
1400,42,0.01155659232677022
1400,43,-0.0022887759581146404
1400,44,0.011947300175274872
1400,45,0.00670478000493748
1400,46,-0.0040971281978566644
1400,47,-0.013921264791248847
1400,48,0.011935629408571203
