T,s,MISE
500,46,0.004379489344947338
500,47,0.0025659416658835683
500,48,0.010698857895059758
500,49,0.0015732029166536023
550,0,0.0017354856330135627
550,1,0.0004702332494794609
550,2,0.0021249907627679866
550,3,0.0006783073390547753
550,4,0.00106936692418828
550,5,0.0035408265116806904
550,6,0.003269817586683083
550,7,0.0016359838593639725
550,8,0.002626610711070168
550,9,0.0031792530598333925
550,10,0.0031107804112075923
550,11,0.0007029713164664895
550,12,0.00303108554461143
550,13,0.0011927755396172067
550,14,0.0019525442369915601
550,15,0.0017592315211370517
550,16,0.0018099804465975648
550,17,0.0015010731352966984
550,18,0.00485853480301774
550,19,0.003654587916067324
550,20,0.0017578704101033555
550,21,0.0010908971497923634
550,22,0.001667870368329137
550,23,0.002127549662472836
550,24,0.004441024863666141
550,25,0.0008323938963180625
550,26,0.0010045924213526979
550,27,0.00626485620642345
550,28,0.0011889816313146756
550,29,0.009369193068021064
550,30,0.002141414141019536
550,31,0.006452161170769249
550,32,0.0019208952659772146
550,33,0.001845226878664344
550,34,0.0028631784764605126
550,35,0.0021230995596533036
550,36,0.005250367379351155
550,37,0.0036203710629138523
550,38,0.0008457342911257877
550,39,0.001684780146137361
550,40,0.000865167531483284
550,41,0.0028721047535919847
550,42,0.0027428137131277463
550,43,0.0015981088047322574
550,44,0.0017627969696207778
550,45,0.001191699841796719
550,46,0.004967899018899255
550,47,0.003970175836763275
550,48,0.005400546302705908
550,49,0.003485376284519805
600,0,0.0014397394051077306
600,1,0.0007388858054687263
600,2,0.004727506861930735
600,3,0.0015071478256147692
600,4,0.0028804753830697287
600,5,0.008036330485138658
600,6,0.002646316656381862
600,7,0.0048791762799723715
600,8,0.007637045407552423
600,9,0.0012841803784612682
600,10,0.0008572777213874678
600,11,0.000939329010521282
600,12,0.0039989988946040715
600,13,0.002963762825590324
600,14,0.003513101847496443
600,15,0.0037386477849272533
600,16,0.005839918736290051
600,17,0.0023504386528021867
600,18,0.0014561026586047965
600,19,0.0022515597952722445
600,20,0.0030331602469326506
600,21,0.0010872232242224705
600,22,0.003891675303398413
600,23,0.0015342541074508272
