T,s,SquareDiff
1100,20,2.3025129709709374e-05
1100,21,6.207079837083952e-07
1100,22,3.4560520176281926e-05
1100,23,7.0618687050535845e-06
1100,24,6.479492219781171e-06
1100,25,9.429022118220164e-07
1100,26,3.717455683356835e-05
1100,27,3.549147241495483e-05
1100,28,6.207079837083952e-07
1100,29,6.479492219781171e-06
1100,30,6.479492219781171e-06
1100,31,3.643588583722016e-06
1100,32,7.697141609563567e-06
1100,33,1.8684129453508452e-05
1100,34,6.780048162192954e-06
1100,35,5.802434126139853e-06
1100,36,6.479492219781171e-06
1100,37,6.479492219781171e-06
1100,38,3.393439222016045e-06
1100,39,6.479492219781171e-06
1100,40,9.492590520633977e-06
1100,41,9.975251487868042e-07
1100,42,6.479492219781171e-06
1100,43,7.485088620304703e-06
1100,44,2.777754886726605e-06
1100,45,1.793784426750824e-05
1100,46,3.4560520176281926e-05
1100,47,2.7021002593780426e-05
1100,48,6.479492219781171e-06
1100,49,6.479492219781171e-06
1200,0,4.3703596029289185e-06
1200,1,6.479492219781171e-06
1200,2,3.018829212289607e-06
1200,3,6.334783173737487e-06
1200,4,8.839149132229631e-06
1200,5,2.2817037941482105e-05
1200,6,7.702807909978113e-06
1200,7,6.479492219781171e-06
1200,8,1.2369703695954273e-05
1200,9,6.479492219781171e-06
1200,10,1.911940446308348e-06
1200,11,4.273662871720604e-05
1200,12,4.671188727180585e-06
1200,13,6.479492219781171e-06
1200,14,6.334411083411981e-06
1200,15,6.479492219781171e-06
1200,16,1.670792996136188e-06
1200,17,3.213917927162598e-06
1200,18,2.710064149251329e-06
1200,19,6.702869620193545e-07
1200,20,5.409870899728456e-05
1200,21,6.479492219781171e-06
1200,22,6.479492219781171e-06
1200,23,2.428832944538125e-05
1200,24,6.479492219781171e-06
1200,25,2.3214037971666288e-06
1200,26,3.4560520176281926e-05
1200,27,7.969147039693177e-06
1200,28,6.479492219781171e-06
1200,29,6.207079837083952e-07
1200,30,3.4560520176281926e-05
1200,31,9.125075248693428e-07
1200,32,2.419254485459756e-06
1200,33,3.4560520176281926e-05
1200,34,8.504922448867852e-06
1200,35,3.4560520176281926e-05
1200,36,6.479492219781171e-06
1200,37,6.479492219781171e-06
1200,38,3.2929226449912955e-05
1200,39,3.4560520176281926e-05
1200,40,6.479492219781171e-06
1200,41,2.9308511706544316e-05
1200,42,6.479492219781171e-06
1200,43,1.4944594681228998e-06
1200,44,6.479492219781171e-06
1200,45,6.479492219781171e-06
1200,46,6.479492219781171e-06
1200,47,6.479492219781171e-06
1200,48,1.1694191119295386e-05
1200,49,6.479492219781171e-06
1300,0,7.493376317640623e-06
1300,1,4.2522788502863335e-05
1300,2,6.207079837083952e-07
1300,3,1.249003692980825e-05
1300,4,6.082414019141998e-06
1300,5,4.124157089070311e-05
1300,6,6.479492219781171e-06
1300,7,2.5174817429405057e-06
1300,8,6.207079837083952e-07
1300,9,3.3825677428731074e-05
1300,10,2.4200848163196278e-05
1300,11,6.479492219781171e-06
1300,12,6.67502506616761e-06
1300,13,8.63352164127648e-07
1300,14,6.479492219781171e-06
1300,15,6.479492219781171e-06
1300,16,3.7883925280107497e-06
1300,17,2.5724815970703473e-05
1300,18,1.820269505365874e-05
1300,19,2.6499862715142785e-06
1300,20,5.374429697938197e-06
1300,21,1.2257604226619249e-06
1300,22,7.914940750806588e-06
1300,23,4.142801972628593e-06
1300,24,2.5435421378030948e-05
1300,25,2.138313283631921e-05
1300,26,5.1279816033255225e-06
1300,27,7.128168900399014e-07
1300,28,8.260172185506722e-06
1300,29,8.734883384241943e-06
1300,30,4.709967194754953e-06
1300,31,3.4560520176281926e-05
1300,32,1.7038703322000188e-06
1300,33,6.479492219781171e-06
1300,34,4.8359797405422135e-06
1300,35,6.207079837083952e-07
1300,36,4.9263617811773654e-06
1300,37,6.479492219781171e-06
1300,38,9.77116527055851e-07
1300,39,4.4627885260962593e-07
1300,40,6.479492219781171e-06
1300,41,6.479492219781171e-06
1300,42,1.487490065161219e-06
1300,43,2.0247984377349216e-06
1300,44,1.0868927951409276e-06
1300,45,5.849365786848829e-06
1300,46,6.479492219781171e-06
1300,47,2.134612880871017e-06
1300,48,1.1753674052246997e-05
1300,49,6.479492219781171e-06
1400,0,3.4560520176281926e-05
1400,1,6.207079837083952e-07
1400,2,1.0241244876312672e-05
1400,3,6.207079837083952e-07
1400,4,1.7811049447187948e-06
1400,5,1.0420717271214393e-05
1400,6,7.367318148028621e-07
1400,7,6.479492219781171e-06
1400,8,5.07396507440888e-06
1400,9,1.1901189967977076e-05
1400,10,1.4505891125396142e-06
1400,11,3.3453333361253125e-05
1400,12,1.0010479446204393e-05
1400,13,6.479492219781171e-06
1400,14,2.984087873272223e-05
1400,15,4.204511628817701e-06
1400,16,1.41541042002903e-06
1400,17,6.479492219781171e-06
1400,18,3.2097295838493744e-06
1400,19,8.937541411037341e-06
1400,20,6.207079837083952e-07
1400,21,2.5946463638921562e-05
1400,22,1.1228366324131876e-05
1400,23,6.749233109585111e-06
1400,24,2.2663718605040754e-05
1400,25,3.4560520176281926e-05
1400,26,6.207079837083952e-07
1400,27,6.605521411882856e-06
1400,28,3.2306602548504044e-06
1400,29,3.4560520176281926e-05
1400,30,5.379349302677936e-06
1400,31,4.354782604967599e-06
1400,32,6.479492219781171e-06
1400,33,6.479492219781171e-06
1400,34,6.479492219781171e-06
1400,35,9.913278576203192e-07
1400,36,2.1814169689906026e-06
1400,37,2.8384319567659534e-06
1400,38,7.483398000122623e-06
1400,39,2.403347467528105e-06
1400,40,3.4560520176281926e-05
1400,41,6.479492219781171e-06
1400,42,6.931153778951732e-06
1400,43,2.282190224187771e-06
1400,44,8.48637919311154e-05
1400,45,6.479492219781171e-06
1400,46,6.207079837083952e-07
1400,47,7.314143585736108e-06
1400,48,1.2807238342391551e-05
1400,49,3.4560520176281926e-05
1500,0,3.542785525174681e-05
1500,1,1.9120343963473004e-06
1500,2,3.3506229706813176e-05
1500,3,1.4316185798357817e-06
1500,4,1.1263221208771542e-06
1500,5,6.479492219781171e-06
1500,6,6.479492219781171e-06
1500,7,5.694470172319544e-06
1500,8,1.223435176962048e-05
1500,9,6.479492219781171e-06
1500,10,1.0117308864349202e-05
1500,11,4.3084307961406094e-05
1500,12,6.207079837083952e-07
1500,13,9.367436008930717e-06
1500,14,6.479492219781171e-06
1500,15,6.479492219781171e-06
1500,16,3.4560520176281926e-05
1500,17,6.479492219781171e-06
1500,18,6.479492219781171e-06
1500,19,3.292361295805641e-06
1500,20,2.3975604784645002e-05
1500,21,6.479492219781171e-06
1500,22,6.479492219781171e-06
1500,23,6.479492219781171e-06
1500,24,2.691298750051955e-05
1500,25,3.4560520176281926e-05
1500,26,1.915320767962827e-06
1500,27,1.8610700009815535e-06
1500,28,1.2110334936723154e-06
1500,29,6.727226019540135e-06
1500,30,6.479492219781171e-06
1500,31,9.705623422824668e-06
1500,32,6.479492219781171e-06
1500,33,1.0709002339405064e-05
1500,34,2.1453489235038413e-05
1500,35,6.479492219781171e-06
1500,36,6.479492219781171e-06
1500,37,1.871587002483028e-05
1500,38,6.207079837083952e-07
1500,39,2.2904365635171696e-05
1500,40,5.43154209841709e-06
1500,41,3.4560520176281926e-05
1500,42,5.98343236290575e-06
1500,43,4.865438334758161e-06
1500,44,6.372196689569193e-06
1500,45,5.902104362354851e-06
1500,46,7.112159806010676e-06
1500,47,3.604353157904152e-05
1500,48,2.136511355456267e-06
1500,49,3.4560520176281926e-05
1600,0,3.4560520176281926e-05
1600,1,6.479492219781171e-06
1600,2,3.4560520176281926e-05
