T,simNr,kernel,bandwidth,a,M1,S_T,data_reward,optimal_reward,regret
700,6,gau,1/sqrt(T),1e-06,1e-06,80.66000000000436,114.63683976547188,123.41901068129837,8.782170915826498
700,7,gau,1/sqrt(T),1e-06,1e-06,89.30000000000878,114.01864012602528,145.29900837286957,31.28036824684429
700,8,gau,1/sqrt(T),1e-06,1e-06,80.45000000000425,110.18827592487776,122.64632796817541,12.458052043297656
700,9,gau,1/sqrt(T),1e-06,1e-06,85.30000000000673,98.8420950348696,115.3365730847026,16.494478049832992
800,0,gau,1/sqrt(T),1e-06,1e-06,90.04000000000916,105.64258179903524,121.5976296674925,15.955047868457257
800,1,gau,1/sqrt(T),1e-06,1e-06,91.01000000000965,116.89541218686819,135.58456473402114,18.689152547152958
800,2,gau,1/sqrt(T),1e-06,1e-06,100.35000000001443,120.91536151141155,138.30829726600277,17.39293575459122
800,3,gau,1/sqrt(T),1e-06,1e-06,86.63000000000741,126.42479551034732,147.58190253253326,21.15710702218594
800,4,gau,1/sqrt(T),1e-06,1e-06,95.35000000001187,115.86649719291732,134.19607051832403,18.329573325406713
800,5,gau,1/sqrt(T),1e-06,1e-06,96.08000000001225,134.64764096479033,146.74535710403597,12.097716139245648
800,6,gau,1/sqrt(T),1e-06,1e-06,93.61000000001098,108.38756086458274,123.08130644590338,14.693745581320641
800,7,gau,1/sqrt(T),1e-06,1e-06,92.21000000001027,125.65073973238086,139.66760564221556,14.016865909834706
800,8,gau,1/sqrt(T),1e-06,1e-06,100.42000000001447,129.41424278634028,140.58785934871406,11.17361656237378
800,9,gau,1/sqrt(T),1e-06,1e-06,89.19000000000872,125.47982397248951,148.7223475204479,23.242523547958385
900,0,gau,1/sqrt(T),1e-06,1e-06,96.08000000001225,116.52770259819,134.78365985661722,18.255957258427216
900,1,gau,1/sqrt(T),1e-06,1e-06,99.59000000001404,151.32231977756686,166.4785296651653,15.156209887598436
900,2,gau,1/sqrt(T),1e-06,1e-06,95.48000000001194,149.79428799142107,169.6700994061186,19.875811414697523
900,3,gau,1/sqrt(T),1e-06,1e-06,95.53000000001197,149.4860604565139,164.3587898746696,14.8727294181557
900,4,gau,1/sqrt(T),1e-06,1e-06,98.01000000001324,146.37783519755732,161.58562375684826,15.207788559290947
900,5,gau,1/sqrt(T),1e-06,1e-06,101.43000000001499,125.94115828706147,148.33120189855467,22.390043611493198
900,6,gau,1/sqrt(T),1e-06,1e-06,93.32000000001084,146.96942837002447,159.87046571251705,12.901037342492572
900,7,gau,1/sqrt(T),1e-06,1e-06,99.20000000001384,142.13656243475626,166.01415088964043,23.877588454884176
900,8,gau,1/sqrt(T),1e-06,1e-06,94.32000000001135,131.79967740887636,147.04507498351202,15.24539757463566
900,9,gau,1/sqrt(T),1e-06,1e-06,93.52000000001094,137.74165151343573,163.10365633237845,25.362004818942722
1000,0,gau,1/sqrt(T),1e-06,1e-06,102.74000000001566,139.34091173403925,158.15709074204415,18.816179008004895
1000,1,gau,1/sqrt(T),1e-06,1e-06,108.71000000001871,156.15478726368937,176.41203437308397,20.257247109394598
1000,2,gau,1/sqrt(T),1e-06,1e-06,107.27000000001797,161.8514425557984,182.46730034581262,20.615857790014218
1000,3,gau,1/sqrt(T),1e-06,1e-06,100.70000000001461,178.60799893376537,204.17362639240258,25.56562745863721
1000,4,gau,1/sqrt(T),1e-06,1e-06,104.17000000001639,155.41819329176568,173.12181678314272,17.703623491377044
1000,5,gau,1/sqrt(T),1e-06,1e-06,124.57000000002682,149.01062045524014,167.66654399650702,18.655923541266873
1000,6,gau,1/sqrt(T),1e-06,1e-06,100.32000000001442,145.80021673678797,168.86942204769838,23.069205310910405
1000,7,gau,1/sqrt(T),1e-06,1e-06,104.41000000001651,145.90857567931033,161.00720682556266,15.09863114625233
1000,8,gau,1/sqrt(T),1e-06,1e-06,121.04000000002502,140.7383575800376,161.27038578445212,20.53202820441453
1000,9,gau,1/sqrt(T),1e-06,1e-06,111.88000000002033,141.9700267738121,151.24973063784384,9.279703864031745
1100,0,gau,1/sqrt(T),1e-06,1e-06,111.0500000000199,148.68362747481052,173.50895680768417,24.82532933287365
1100,1,gau,1/sqrt(T),1e-06,1e-06,106.49000000001757,152.073828381848,170.19407192979648,18.12024354794849
1100,2,gau,1/sqrt(T),1e-06,1e-06,107.39000000001803,187.4161980473552,199.2627545348097,11.846556487454478
1100,3,gau,1/sqrt(T),1e-06,1e-06,107.08000000001788,160.63912544327448,179.79944541129493,19.160319968020445
1100,4,gau,1/sqrt(T),1e-06,1e-06,107.06000000001787,166.03938070011688,186.51405331714594,20.474672617029057
1100,5,gau,1/sqrt(T),1e-06,1e-06,106.79000000001773,146.92501917638216,167.61024779007622,20.68522861369405
1100,6,gau,1/sqrt(T),1e-06,1e-06,112.93000000002087,168.72518651888035,188.8291475876808,20.10396106880046
1100,7,gau,1/sqrt(T),1e-06,1e-06,109.18000000001895,160.20864611218164,174.21803579240512,14.009389680223478
1100,8,gau,1/sqrt(T),1e-06,1e-06,106.86000000001776,159.75787246355668,174.65206479693606,14.89419233337938
1100,9,gau,1/sqrt(T),1e-06,1e-06,117.090000000023,151.17665557564487,170.97104822787287,19.794392652227998
1200,0,gau,1/sqrt(T),1e-06,1e-06,114.3500000000216,190.52390150986605,213.10429322008756,22.580391710221505
1200,1,gau,1/sqrt(T),1e-06,1e-06,123.05000000002605,202.5380517669717,218.16080505310805,15.622753286136344
1200,2,gau,1/sqrt(T),1e-06,1e-06,124.56000000002682,173.59306020298772,189.88871792955064,16.295657726562922
1200,3,gau,1/sqrt(T),1e-06,1e-06,112.8000000000208,177.95101032270915,201.56968418673156,23.618673864022412
1200,4,gau,1/sqrt(T),1e-06,1e-06,112.83000000002082,170.30792238244948,193.4171651184064,23.10924273595691
1200,5,gau,1/sqrt(T),1e-06,1e-06,117.8900000000234,173.80591382545302,194.44715596416006,20.641242138707042
1200,6,gau,1/sqrt(T),1e-06,1e-06,116.99000000002295,184.56658777278892,206.89090548248507,22.324317709696146
1200,7,gau,1/sqrt(T),1e-06,1e-06,117.66000000002329,183.85582470812625,205.74955699907224,21.89373229094599
1200,8,gau,1/sqrt(T),1e-06,1e-06,113.180000000021,177.14381959793005,198.14606226225723,21.002242664327184
1200,9,gau,1/sqrt(T),1e-06,1e-06,118.38000000002366,186.50340655952567,203.1207262850292,16.617319725503535
1300,0,gau,1/sqrt(T),1e-06,1e-06,125.37000000002723,184.68951225585982,217.8304187063621,33.140906450502285
1300,1,gau,1/sqrt(T),1e-06,1e-06,131.57000000002532,213.3445320651928,245.95855487156334,32.61402280637054
1300,2,gau,1/sqrt(T),1e-06,1e-06,119.48000000002422,197.4200307097677,219.7861788690397,22.366148159272
1300,3,gau,1/sqrt(T),1e-06,1e-06,122.69000000002586,202.2987783943793,231.28555515510146,28.986776760722165
1300,4,gau,1/sqrt(T),1e-06,1e-06,122.32000000002567,204.19936676609973,221.18856599815066,16.989199232050936
1300,5,gau,1/sqrt(T),1e-06,1e-06,139.24000000001834,183.33087732165762,207.62342171848422,24.2925443968266
1300,6,gau,1/sqrt(T),1e-06,1e-06,127.09000000002811,177.39031905239088,198.40807641792583,21.017757365534948
1300,7,gau,1/sqrt(T),1e-06,1e-06,124.26000000002666,211.3560642810975,229.5199968963227,18.163932615225207
1300,8,gau,1/sqrt(T),1e-06,1e-06,123.79000000002642,175.23908472576804,189.4263318509952,14.187247125227174
1300,9,gau,1/sqrt(T),1e-06,1e-06,119.68000000002432,196.67661073495844,217.82879870240913,21.152187967450686
1400,0,gau,1/sqrt(T),1e-06,1e-06,125.42000000002726,215.51242488550102,231.31934957769946,15.806924692198436
1400,1,gau,1/sqrt(T),1e-06,1e-06,129.25000000002743,196.64007812009797,225.3971720387024,28.757093918604426
